"Name","BuildingLevel","TID","InfoTID","BuildingClass","SecondaryTargetingClass","ShopBuildingClass","SWF","ExportName","ExportNameNpc","ExportNameConstruction","ExportNameLocked","BuildTimeD","BuildTimeH","BuildTimeM","BuildTimeS","BuildResource","BuildCost","TownHallLevel","CapitalHallLevel","Width","Height","Icon","ExportNameBuildAnim","ExportNameUpgradeAnim","MaxStoredGold","MaxStoredElixir","MaxStoredDarkElixir","MaxStoredSourElixir","MaxStoredCommonOre","MaxStoredRareOre","MaxStoredEpicOre","MaxStoredWarGold","MaxStoredWarElixir","MaxStoredWarDarkElixir","MaxStoredGold2","MaxStoredElixir2","PercentageStoredGold","PercentageStoredElixir","PercentageStoredDarkElixir","LootOnDestruction","Bunker","Blacksmith","ArmySlotType","HousingSpace","HousingSpaceAlt","HousingSpaceSiege","ProducesResource","ResourcePer100Hours","ResourceMax","ResourceIconLimit","UnitProduction","UpgradesUnitType","ProducesUnitsOfType","LevelRequirementTID","BoostCost","FreeBoost","Hitpoints","RegenTime","AttackRange","AltAttackMode","AltAttackRange","PrepareSpeed","AttackSpeed","AltAttackSpeed","CoolDownOverride","DPS","AltDPS","Damage","DamageMulti","PreferredTarget","PreferredTargetDamageMod","RandomHitPosition","DestroyEffect","DestroyDamageEffect","AttackEffect","AttackEffect2","ChainAttackDistance","ChainAttackMaxTargets","ChainAttackDelay","ChainAttackDamageReductionPercent","AttackEffectAlt","HitEffect","Projectile","AltProjectile","ExportNameDamagedSWF","ExportNameDamaged","BuildingW","BuildingH","BaseGfx","ExportNameBase","AirTargets","GroundTargets","MultiTargets","NumMultiTargets","MultiHitsTarget","AltAirTargets","AltGroundTargets","AltMultiTargets","AmmoCount","AmmoResource","AmmoCost","MinAttackRange","DamageRadius","PushBack","WallCornerPieces","LoadAmmoEffect","NoAmmoEffect","ToggleAttackModeEffect","PickUpEffect","PlacingEffect","AnimateTurret","DefenderCharacter","DefenderCount","DefenderZ","AltDefenderZ","DestructionXP","Locked","StartingHomeCount","Hidden","AOESpell","AOESpellAlternate","TriggerRadius","ExportNameTriggered","AppearEffect","ForgesSpells","ForgesMiniSpells","IsHeroBarrack","HeroType","IncreasingDamage","DPSLv2","DPSLv3","DPSMulti","Lv2SwitchTime","Lv3SwitchTime","AttackEffectLv2","AttackEffectLv3","TransitionEffectLv2","TransitionEffectLv3","AltNumMultiTargets","PreventsHealing","StrengthWeight","AlternatePickNewTargetDelay","AltBuildResource","SpeedMod","StatusEffectTime","ShockwavePushStrength","ShockwaveArcLength","ShockwaveExpandRadius","TargetingConeAngle","AimRotateStep","PenetratingProjectile","PenetratingRadius","PenetratingExtraRange","TurnSpeed","NeedsAim","TargetGroups","TargetGroupsRadius","HitSpell","HitSpellLevel","ExportNameBeamStart","ExportNameBeamEnd","Damage2","Damage2Radius","Damage2Delay","Damage2Min","Damage2FalloffStart","Damage2FalloffEnd","HitEffect2","WakeUpSpeed","WakeUpSpace","PreAttackEffect","ShareHeroCombatData","BurstCount","BurstDelay","AltBurstCount","AltBurstDelay","DummyProjectileCount","DieDamage","DieDamageRadius","DieDamageEffect","DieDamageDelay","IsRed","VillageType","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd","DefenceTroopCount","DefenceTroopCharacter","DefenceTroopCharacter2","DefenceTroopLevel","AmountCanBeUpgraded","SelfAsAoeCenter","NewTargetAttackDelay","GearUpBuilding","GearUpLevelRequirement","GearUpResource","GearUpCost","GearUpTime","GearUpTID","StartUpgradeBoosterCost","ActivateCombatOnDamageTaken","ActivatedCombatAddBuildingClass","CombatActivationDelay","CombatActivationEffect","Weapon","HintPriority","UpgradeTasks","UpgradeTasksRequired","AnimationActionFrame","SpellOnNearbyDamage","DamagePermilHp","ProjectileVariantByTargetMaxHP","DefaultProjectileVariant","PreviewScenario","AltPreviewScenario","CustomTargetHitBuildingInRange","UnlockWeaponMode","Stage","SecondaryTroop","SecondaryTroopCnt","SecondaryTroopLvl","HealthRecoveryPercent","MergeRequirement","ProjectileBounces"
,10,,,,,,,"fireplace_lvl10",,,,8,18,0,0,,5700000,12,12,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fireplace_lvl8_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,,,,,,"fireplace_lvl11",,,,9,12,0,0,,9600000,13,13,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fireplace_lvl8_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,,,,,,"fireplace_lvl12",,,,12,12,0,0,,19000000,15,15,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fireplace_lvl8_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Town Hall",1,"TID_BUILDING_TOWN_HALL","TID_TOWN_HALL_INFO","Town Hall","Resource",,"sc/buildings.sc","town_hall_lvl1","goblin_townhall_lvl1","town_hall_const",,0,0,0,0,"Gold",0,0,,4,4,,"town_hall_upg",,1000,1000,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,450,20,,,,,,,,,,,,,,,"Town Hall Destroyed",,,,,,,,,,,,,"destroyedBuilding_4m_base_woodpanel_yellow",3,3,,"townhall_base",,,,,,,,,,,,,,,,,,,"Town Hall Pickup","Town Hall Placing",,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TRUE",,,,,,,,,,,,,,,,,,,,,,,"Defense",,,,100,,,,,,,,"NoCombatBuilding",,,,,,,,,,
,2,,,,,,,"town_hall_lvl2",,,,0,0,0,10,,1000,1,,,,,,,2500,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4m_base_rockwoodpanel_yellow",,,,"townhall_base",,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,"town_hall_lvl3",,,,0,1,0,0,,4000,2,,,,,,,10000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4m_base_rockwoodpanel_yellow",,,,"townhall_base",,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,"town_hall_lvl4",,,,0,3,0,0,,25000,3,,,,,,,50000,50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4m_base_rockwoodpanel_yellow",,,,"townhall_base",,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,"town_hall_lvl5",,,,0,6,0,0,,150000,4,,,,,,,100000,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4m_base_rockwoodpanel_yellow",,,,"townhall_base",,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,,"town_hall_lvl6",,,,0,12,0,0,,750000,5,,,,,,,300000,300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4m_base_rockwoodpanel_yellow",,,,"townhall_base",,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,,"town_hall_lvl7",,,,0,18,0,0,,1000000,6,,,,,,,500000,500000,2500,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,3300,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4m_base_rockwoodpanel_yellow",,,,"townhall_base",,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,,"town_hall_lvl8",,,,1,0,0,0,,2000000,7,,,,,,,750000,750000,5000,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,3900,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4m_base_rockwoodpanel_yellow",,,,"townhall_base",,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,,,"town_hall_lvl9",,,,2,0,0,0,,3000000,8,,,,,,,1000000,1000000,10000,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,4600,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4l_base_rockwoodpanel_grey",,,,"townhall_base",,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,,,"town_hall_lvl10",,,,2,12,0,0,,3500000,9,,,,,,,1500000,1500000,20000,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,5500,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4l_base_rockwoodpanel_grey",,,,"townhall_lvl10_base",,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,,,,,,"town_hall_lvl11",,,,2,18,0,0,,4000000,10,,,,,,,2000000,2000000,20000,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,6800,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4l_base_rockwoodpanel_white",,,,"townhall_base",,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,,,,,,"town_hall_lvl12_t1",,,,4,6,0,0,,6000000,11,,,,,,,2000000,2000000,20000,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,7500,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4l_base_rockwoodpanel_blue",,,,"townhall_base_th12",,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,500,,"Townhall12",,,,,,,,,,,,,,,,,,,
,13,,,,,,,"town_hall_lvl13_t1",,,,7,12,0,0,,9000000,12,,,,,,,2000000,2000000,20000,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,8200,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4l_base_rockwoodpanel_blue",,,,"townhall_base_th12",,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,500,,"Townhall13",,,,,,,,,,,,,,,,,,,
,14,,,,,,,"town_hall_lvl14_t1",,,,13,6,0,0,,15000000,13,,,,,,,2000000,2000000,20000,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,8900,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4m_base_rockwoodpanel_yellow",,,,"townhall_base_th12",,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,500,,"Townhall14",,,,,,,,,,,,,,,,,,,
,15,,,,,,,"town_hall_lvl15_t1",,,,13,12,0,0,,18000000,14,,,,,,,2000000,2000000,20000,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,9600,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4l_base_rockwoodpanel_darkpurple",,,,"townhall_base_th12",,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,500,,"Townhall15",,,,,,,,,,,,,,,,,,,
,16,,,,,,,"town_hall_lvl16",,,,14,0,0,0,,20000000,15,,,,,,,2000000,2000000,20000,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,10000,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_4l_base_rockwoodpanel_darkpurple",,,,"townhall_base_th12",,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,500,,"Townhall16",,,,,,,,,,,,,,,,,,,
"Elixir Pump",1,"TID_BUILDING_ELIXIR_PUMP","TID_ELIXIR_PUMP_INFO","Resource",,,"sc/buildings.sc","elixir_pump_lvl1",,"elixir_pump_const",,0,0,0,10,"Gold",150,1,1,3,3,,"elixir_pump_upg",,,,,,,,,,,,,,,,,,,,,,,,"Elixir",20000,1000,6,,,,,,,400,15,,,,,,,,,,,,,,,"Building Destroyed",,,,,,,,,,,,,"destroyedBuilding_3s_round_pit_woodglass",2,2,,"elixir_pump_base",,,,,,,,,,,,,,,,,,,"Elixir Pump Pickup","Elixir Pump Placing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,"NoCombatBuilding",,,,,,,,,,
,2,,,,,,,"elixir_pump_lvl2",,,,0,0,1,0,,300,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,2000,15,,,,,,,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_3s_round_pit_woodglass",,,,"elixir_pump_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,"elixir_pump_lvl3",,,,0,0,4,0,,700,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60000,3000,25,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"destroyedBuilding_3s_round_pit_woodglass",,,,"elixir_pump_base",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
