"TID","EN","AR","CN","CNT","DE","ES","FA","FI","FR","ID","IT","JP","KR","MS","NL","NO","PT","RU","TH","TR","VI"
"TID_CLANGAMES_TASK_INFO_WIN_STARS_VS_TOWNHALL_13","Earn <num> Stars against opponents with Town Hall 13 in Multiplayer Battles.","اربح <num> من النجوم ضد خصوم ذوي قاعة مدينة من المستوى 13 في المعارك متعددة اللاعبين.","在联机模式中进攻13级大本营村庄，并赢得<num>颗胜利之星。","在多人遊戲中進攻13級大本營村莊，並贏得<num>顆勝利之星。","Verdiene in Mehrspieler-Kämpfen <num> Sterne gegen Gegner mit Rathaus-Level 13.","Consigue <num> estrellas en batallas multijugador contra rivales con un ayuntamiento de nivel 13.","در نبردهای چند نفره مقابل حریفانی با تالار شهر سطح 13، <num> ستاره کسب کنید.","Hanki <num> tähteä moninpelitaisteluista päärakennuksen tasolla 13 olevia vihollisia vastaan.","Gagnez <num> étoiles contre des adversaires possédant un hôtel de ville de niveau 13 en combat multijoueur.","Raih <num> Bintang saat menghadapi lawan dengan Balai Kota 13 di Pertempuran Multipemain.","Ottieni <num> stella/e contro avversari con municipio di livello 13 in battaglie multigiocatore.","マルチプレイで、タウンホールレベル13のプレイヤーから星を<num>個獲得する。","멀티플레이 전투에서\n마을회관 13레벨을 상대로\n별 <num>개 획득","Meraih <num> bintang menentang lawan dengan dewan bandaran 13 dalam pertempuran berbilang pemain.","Verdien <num> sterren tegen tegenstanders met stadhuislevel 13 in multiplayergevechten.","Få <num> stjerner mot motstandere med rådhus 13 i flerspillerkamper.","Ganhe <num> estrelas enfrentando inimigos com centro da vila 13 em batalhas multijogador.","Получите звезды (<num>) в многопользовательских боях против игроков с ратушей 13-го уровня.","ได้ดาว <num> ดวงจากคู่ต่อสู้ที่มีศาลากลางเลเวล 13 ในการรบแบบผู้เล่นหลายคน","Çok Oyunculu Savaşlarda 13. Belediye Binasına sahip rakiplerinden <num> Yıldız kazan.","Kiếm <num> Sao khi đấu với đối thủ có Nhà Chính cấp 13 trong các Trận chiến Nhiều người chơi."
"TID_CHALLENGE_PROGRESS","Challenge Progress","تقدم التحدي","挑战进度","挑戰進度","Fortschritt","Progreso de desafío","پیشرفت چالش","Haasteen edistyminen","Progression du défi","Progres Tantangan","Progressi sfida","チャレンジ進行状況","도전 과제 진행 상황","Perkembangan Cabaran","Uitdagingsvoortgang","Fremdrift i utfordringen","Progresso do desafio","Ход испытания","ความคืบหน้าความท้าทาย","Mücadele Durumu","Tiến trình Thử thách"
"TID_AVATAR_MESSAGE_GEM_DONATION","You have been donated gems. Press claim to receive them.","تبرع لك أحدهم بالجواهر. انقر على المطالبة للحصول عليها.","您获得了宝石，请点击领取。","您獲得了寶石，請點擊領取。","Dir wurden Juwelen gespendet. Drücke ,,Abholen\q, um sie zu erhalten.","Te han donado gemas. Pulsa Reclamar para recibirlas.","به شما جواهر اهدا شده است. برای دریافت آنها درخواست را فشار دهید.","Sinulle on lahjoitettu jalokiviä. Napauta lunastaaksesi ne.","Vous avez reçu un don de gemmes. Touchez Récupérer pour les obtenir.","Ada yang menyumbangkan permata untukmu. Tekan klaim untuk menerimanya.","Ti sono state donate delle gemme. Tocca Ottieni per riceverle.","エメラルドを寄付されました。「回収」を押すと受け取ることができます。","보석을 지원받았습니다. 획득을 눌러 찾으세요.","Anda telah didermakan permata. Tekan tuntut untuk menerimanya.","Je hebt een edelsteendonatie ontvangen. Tik op Ophalen om ze te krijgen.","Noen har gitt deg juveler. Trykk på Hent for å motta dem.","Você recebeu gemas. Para resgatá-las, clique no botão \qResgatar\q.","Вам подарили кристаллы. Нажмите на кнопку, чтобы забрать их.","ท่านได้รับบริจาคอัญมณี กดรับเพื่อรับมัน","Taş bağışı aldın. Almak için lütfen bas.","Bạn đã được tặng ngọc. Nhấn nhận để nhận."
"TID_AVATAR_MESSAGE_BUTTON_CLAIM","Claim","المطالبة","领取","領取","Abholen","Reclamar","درخواست","Lunasta","Récupérer","Klaim","Ottieni","回収","획득","Tuntut","Ophalen","Hent","Resgatar","Получить","รับ","Al","Nhận"
"TID_AVATAR_MESSAGE_BUTTON_ALREADY_CLAIMED","Already claimed","تمت المطالبة بها بالفعل","已领取","已領取","Bereits abgeholt","Ya reclamadas","قبلاً درخواست شده","Lunastettu jo","Déjà récupéré","Sudah diklaim","Già ritirate","回収済み","이미 획득함","Sudah dituntut","Al opgehaald","Allerede hentet","Já resgatou","Уже получено","รับไปแล้ว","Önceden alındı","Đã nhận"
"TID_BUTTON_GET_GIFT","Claim Gift","المطالبة بالهدية","领取礼物","領取禮物","Geschenk abholen","Reclamar regalo","مطالبه هدایا","Lunasta lahja","Récupérer","Klaim Hadiah","Ritira regalo","ギフト受け取り","선물 받기","Tuntut Hadiah","Cadeau ophalen","Hent gave","Resgatar presente","Получить подарок","รับของขวัญ","Hediye Al","Nhận Quà"
"TID_GIFT_CLAIM_FAIL_SERVER","Failed to claim gift. Please try again later.","فشل المطالبة بالهدية. يُرجى إعادة المحاولة لاحقًا.","领取礼物失败，请稍后重试。","領取禮物失敗，請稍後重試。","Geschenk konnte nicht abgeholt werden. Bitte versuche es später erneut.","Error al reclamar el regalo. Inténtalo de nuevo más tarde.","مطالبه هدیه انجام نشد. لطفاً بعداً دوباره امتحان کنید.","Lahjan lunastaminen epäonnistui. Yritä myöhemmin uudelleen.","Échec de récupération du cadeau. Veuillez réessayer plus tard.","Gagal mengklaim hadiah. Coba lagi nanti.","Impossibile ritirare il regalo. Riprova più tardi.","ギフトを受け取れませんでした。しばらく待ってから再度お試しください。","선물을 받지 못했습니다. 나중에 다시 시도해 주세요.","Gagal menuntut hadiah. Sila cuba lagi kemudian.","Cadeau ophalen mislukt. Probeer het later opnieuw.","Kunne ikke hente gaven. Prøv igjen senere.","Não foi possível resgatar o presente. Tente de novo mais tarde.","Не удалось забрать подарок. Пожалуйста, попробуйте позже.","รับของขวัญไม่สำเร็จ โปรดลองอีกครั้งในภายหลัง","Hediye alınamadı. Lütfen daha sonra tekrar dene.","Không thể nhận quà. Vui lòng thử lại sau."
"TID_GIFT_CLAIM_FAILED_NOT_PART_OF_CLAN","Can't claim gift, you are not member of the clan!","لا يمكنك المطالبة بالهدية؛ لستَ عضوًا في القبيلة!","您不是该部落的成员，无法领取礼物！","您不是該部落的成員，無法領取禮物！","Du bist kein Clanmitglied. Geschenk kann nicht abgeholt werden.","No has podido reclamar el regalo porque no eres miembro del clan.","امکان مطالبه هدیه وجود ندارد، شما عضو قبیله نیستید!","Et voi lunastaa lahjaa, sillä et ole klaanin jäsen.","Impossible de récupérer le cadeau, vous n'êtes pas membre du clan !","Tidak dapat mengklaim hadiah, kamu bukan anggota klan!","Impossibile ritirare il regalo, non sei un membro del clan!","クランメンバーではないため、ギフトを受け取れません！","클랜에 소속되지 않았으므로 선물을 받을 수 없습니다!","Tidak boleh menuntut hadiah, anda bukan ahli klan!","Je kunt het cadeau niet ophalen. Je bent geen lid van de clan!","Kan ikke hente gaven. Du er ikke medlem av klanen!","Não foi possível resgatar o presente: você não é membro do clã.","Получить подарок нельзя, вы не состоите в клане!","ไม่สามารถรับของขวัญได้ ท่านไม่ได้เป็นสมาชิกแคลน!","Hediye alınamıyor, klanın üyesi değilsin!","Không thể nhận quà, bạn không phải là thành viên của hội!"
"TID_GIFT_CLAIM_FAILED_RECENTLY_CHANGED_CLAN","Can't claim gift, you have changed clan too recently! Please try again in later.","لا يمكن المطالبة بالهدية، فقد غيّرت قبيلتك مؤخرًا! يُرجى إعادة المحاولة في وقت لاحق.","您刚刚才更换到该部落，无法领取礼物！请稍后重试。","您剛剛才更換到該部落，無法領取禮物！請稍後重試。","Du hast kürzlich den Clan gewechselt. Geschenk kann nicht abgeholt werden. Versuche es später erneut.","No has podido reclamar el regalo porque acabas de cambiarte de clan. Inténtalo de nuevo más tarde.","امکان مطالبه هدیه وجود ندارد، شما اخیراً قبیله خود را عوض کرده‌اید! لطفاً بعداً دوباره امتحان کنید.","Lahjan lunastaminen epäonnistui: Olet vaihtanut klaania liian vähän aikaa sitten! Yritä myöhemmin uudelleen.","Impossible de récupérer le cadeau, vous avez changé de clan trop récemment. Veuillez réessayer plus tard.","Tidak dapat mengklaim hadiah, kamu baru-baru ini sudah berganti klan! Coba lagi nanti.","Impossibile ritirare il regalo, hai cambiato clan troppo recentemente! Riprova più tardi.","最近クランを変更したため、ギフトを受け取れません！ またのちほどお試しください。","클랜을 변경한지 얼마 되지 않아 선물을 받을 수 없습니다! 나중에 다시 시도해 주세요.","Tidak boleh menuntut hadiah, anda telah mengubah klan baru-baru ini! Sila cuba lagi kemudian.","Je kunt het cadeau niet ophalen. Je bent onlangs van clan gewisseld! Probeer het later opnieuw.","Kan ikke hente gaven. Du har nettopp byttet klan! Prøv igjen senere.","Não foi possível resgatar o presente: você mudou de clã há pouco tempo. Tente de novo mais tarde.","Получить подарок нельзя, вы недавно сменили клан! Пожалуйста, попробуйте позже.","ไม่สามารถรับของขวัญได้ ท่านเพิ่งเปลี่ยนแคลนเมื่อไม่นานมานี้! โปรดลองอีกครั้งในภายหลัง","Hediye alınamıyor, klanını çok yakın bir zamanda değiştirdin! Lütfen daha sonra tekrar dene.","Không thể nhận quà, bạn đã thay đổi hội trong thời gian quá gần đây! Vui lòng thử lại sau."
"TID_GIFT_CLAIM_FAILED_RECENTLY_CHANGED_CLAN_TIME","Can't claim gift, you have changed clan too recently! Please try again in <time>","لا يمكن المطالبة بالهدية، فقد غيّرت قبيلتك مؤخرًا! يُرجى إعادة المحاولة بعد <time>","您刚刚才更换到该部落，无法领取礼物！请在<time>后重试。","您剛剛才更換到該部落，無法領取禮物！請在<time>後重試。","Du hast kürzlich den Clan gewechselt. Geschenk kann nicht abgeholt werden. Versuche es in <time> erneut.","No has podido reclamar el regalo porque acabas de cambiarte de clan. Inténtalo de nuevo en <time>.","امکان مطالبه هدیه وجود ندارد، شما اخیراً قبیله خود را عوض کرده‌اید! لطفاً پس از <time> دوباره امتحان کنید.","Lahjan lunastaminen epäonnistui: olet vaihtanut klaania liian vähän aikaa sitten! Yritä uudelleen <time> kuluttua.","Impossible de récupérer le cadeau, vous avez changé de clan trop récemment. Veuillez réessayer dans <time>","Tidak dapat mengklaim hadiah, kamu baru-baru ini sudah berganti klan! Coba lagi dalam <time>","Impossibile ritirare il regalo, hai cambiato clan troppo recentemente! Riprova tra <time>","最近クランを変更したため、ギフトを受け取れません！ <time>時間後にまたお試しください。","클랜을 변경한지 얼마 되지 않아 선물을 받을 수 없습니다! <time> 후에 다시 시도해 주세요.","Tidak boleh menuntut hadiah, anda telah mengubah klan baru-baru ini! Sila cuba lagi dalam <time>","Je kunt het cadeau niet ophalen. Je bent onlangs van clan gewisseld! Probeer het opnieuw over <time>.","Kan ikke hente gaven. Du har nettopp byttet klan! Prøv igjen om <time>","Não foi possível resgatar o presente: você mudou de clã há pouco tempo. Tente de novo em <time>.","Получить подарок нельзя, вы недавно сменили клан! Пожалуйста, попробуйте снова через <time>","ไม่สามารถรับของขวัญได้ ท่านเพิ่งเปลี่ยนแคลนเมื่อไม่นานมานี้! โปรดลองอีกครั้งใน <time>","Hediye alınamıyor, klanını çok yakın bir zamanda değiştirdin! Lütfen <time> sonra tekrar dene.","Không thể nhận quà, bạn đã thay đổi hội trong thời gian quá gần đây! Vui lòng thử lại sau <time>"
"TID_YOU_HAVE_ALREADY_CLAIMED_THE_GIFT","You have already claimed this gift!","لقد طالبت بهذه الهدية بالفعل!","您已领取过该礼物了！","您已領取過該禮物了！","Du hast dieses Geschenk bereits abgeholt!","¡Ya has reclamado este regalo!","قبلاً این هدیه را دریافت کرده‌اید!","Olet jo lunastanut tämän lahjan!","Vous avez déjà récupéré ce cadeau !","Hadiah ini sudah kamu klaim!","Hai già ritirato questo regalo!","このギフトは受け取り済みです","이미 이 선물을 받았습니다!","Anda telah menuntut hadiah ini!","Je hebt dit cadeau al opgehaald.","Du har allerede hentet denne gaven!","Você já resgatou este presente.","Вы уже забрали этот подарок!","ท่านได้รับของขวัญนี้ไปแล้ว!","Bu hediyeyi zaten aldın!","Bạn đã nhận món quà này rồi!"
"TID_ALLIANCE_GAMES_REWARDS_NO_POINTS","You need to have earned some points from a Challenge in order to be able to claim rewards.","أنت بحاجة إلى الحصول على بعض النقاط من التحدي لكي تكون قادرًا على المطالبة بجوائز.","您需要完成挑战赢得积分才能领取奖励。","您需要完成挑戰贏得積分才能領取獎勵。","Du musst bei einer Herausforderung Punkte gesammelt haben, damit du Belohnungen erhalten kannst.","Debes conseguir algunos puntos en un desafío para poder reclamar recompensas.","برای اینکه بتوانید جوایز را مطالبه کنید، باید از یک چالشی چند امتیاز گرفته باشید.","Voit lunastaa palkintoja vasta, kun olet saanut pisteitä ainakin yhdestä suoritetusta haasteesta.","Vous devez avoir gagné des points lors d'un défi pour obtenir des récompenses.","Perlu sudah meraih poin dari Tantangan agar dapat mengklaim hadiah.","Per poter ritirare le ricompense, dovrai aver ottenuto dei punti da una sfida.","報酬を受け取るには、チャレンジで一定のポイントを獲得している必要があります。","도전 과제를 완료해 일정 점수를 얻어야만 보상을 받을 수 있습니다.","Anda perlu mendapat beberapa mata dari Cabaran untuk layak menebus ganjaran.","Je moet wat punten hebben verdiend voor een uitdaging om beloningen te krijgen.","For å kunne innkassere belønninger må du først ta poeng i en utfordring.","É preciso ter recebido pontos por um desafio para ter direito às recompensas.","Для получения наград необходимо проходить испытания и зарабатывать очки.","ท่านต้องได้แต้มจากความท้าทายมาบ้างจึงจะสามารถรับรางวัลได้","Ödülleri almak için bir Mücadeleden bir miktar puan kazanmış olmalısın.","Bạn cần phải kiếm được vài điểm từ Thử thách thì mới có thể nhận phần thưởng."
"TID_GAMES_REWARDS_TEXT","When the Clan Games end, it's time to enjoy the rewards! Rewards come in several different tiers that get unlocked as your clan collects points from finished Challenges. Everyone who participated in the Clan Games by completing at least one Challenge will be eligible to pick one reward from each reward tier. Unclaimed rewards will be lost after 7 days.","عندما تنتهي مباريات القبيلة، يكون الوقت قد حان للاستمتاع بالجوائز. تأتي الجوائز في عدة مستويات مختلفة تفتح عند جمع قبيلتك للنقاط من التحديات المكتملة. كل من يشارك في مباريات القبيلة بإكمال تحدٍ واحد على الأقل يصبح مؤهلاً لاختيار جائزة واحدة من كل مستوى جوائز. ستختفي الجوائز غير المطالب بها بعد 7 أيام.","部落竞赛结束后就可以领取奖励了！您的部落完成挑战获得的积分越多，解锁的奖励也就越多。参与部落竞赛的每位成员完成至少一项挑战，就可以从每列奖励中选择一项。未领取的奖励只会保留7天时间，请记得及时领取奖励。","部落競賽結束後就可以領取獎勵了！您的部落完成挑戰獲得的積分越多，解鎖的獎勵也就越多。參與部落競賽的每位成員只需完成至少一項挑戰，就可以從每列獎勵中選擇一項。未領取的獎勵只會保留7天時間，請記得及時領取獎勵。","Wenn die Clanspiele vorbei sind, ist es Zeit für Belohnungen! Belohnungen gibt es auf verschiedenen Stufen. Diese werden freigeschaltet, wenn dein Clan durch abgeschlossene Herausforderungen Punkte sammelt. Jeder, der an den Clanspielen teilgenommen und mindestens eine Herausforderung abgeschlossen hat, darf sich eine Belohnung aus jedem Abschnitt aussuchen. Nicht abgeholte Belohnungen verfallen nach 7 Tagen.","Cuando los Juegos del Clan finalicen, ¡podrás hacerte con las recompensas! Estas varían en función de las columnas que hayas desbloqueado con tu clan completando desafíos. Cualquier miembro del clan que haya participado en los Juegos del Clan completando al menos un desafío podrá elegir una recompensa de cada nivel. Perderás las recompensas si no las reclamas en 7 días.","وقتی بازی‌های قبیله‌ای تمام می‌شوند، زمان لذت بردن از جوایز فرا می‌رسد! جوایز در چند ستون قرار می‌گیرند و هنگامی‌که قبیله‌تان از چالش‌های تمام‌شده امتیاز جمع می‌کند، قفل این ستون‌ها باز می‌شود. جوایز مطالبه‌نشده پس از 7 روز از دست خواهند رفت.","Klaanikisojen päätyttyä on aika nauttia palkinnoista! Palkinnot on jaettu useille palkintokynnyksille, jotka avautuvat klaanisi kerätessä pisteitä suoritetuista haasteista. Kaikki, jotka suorittivat vähintään yhden haasteen, voivat valita jokaiselta palkintokynnykseltä yhden palkinnon. Lunastamattomat palkinnot häviävät 7 päivän kuluttua.","Une fois les jeux de clan terminés, vous pouvez profiter de vos récompenses ! À mesure qu'il récupère des points grâce aux défis terminés, le clan peut débloquer des paliers de récompenses. Tous les joueurs ayant participé aux jeux et terminé au moins un défi pourront choisir une récompense par palier atteint. Les récompenses non récupérées disparaîtront au bout de 7 jours.","Dengan berakhirnya Permainan Klan, tiba saatnya untuk menikmati hadiah! Hadiah dikelompokkan menjadi beberapa tingkatan yang terbuka sesuai poin yang dikumpulkan Klanmu dari Tantangan yang diselesaikan. Siapa saja yang ikut dalam Permainan Klan dengan menyelesaikan setidaknya satu Tantangan akan berhak memilih satu hadiah dari setiap tingkatan. Hadiah yang tidak diklaim akan hilang setelah 7 hari.","Al termine dei giochi del clan potrai goderti le ricompense! Completando le sfide, tu e il clan sbloccherete varie soglie e chiunque abbia superato almeno una sfida, potrà scegliere una ricompensa da ciascuna delle soglie sbloccate. Le ricompense non ritirate andranno perse dopo sette giorni.","クランゲームが終了したら、嬉しい報酬タイムです！ 報酬はいくつかの報酬グレードに分かれており、チャレンジで獲得したクランポイントの総計に応じてアンロックされます。クランゲームで1つ以上のチャレンジを完了したプレイヤーは、各報酬グレードから報酬を1つ選んで受け取ることができます。なお、受け取っていない報酬は7日後に無効となります。","클랜 게임이 종료되면, 이제 보상을 받을 시간입니다! 클랜이 도전 과제를 완료해 모은 점수로 잠금 해제한 보상 티어에서 원하는 보상을 선택할 수 있습니다. 클랜 게임에서 최소 하나 이상의 도전 과제를 완료한 클랜원이라면 티어마다 보상을 하나씩 선택할 수 있습니다. 회수되지 않은 보상은 7일 후 사라집니다.","Apabila Permainan Klan tamat, tibalah masa untuk nikmati ganjarannya! Ganjaran ada di setiap peringkat yang boleh dibuka kunci sementara klan anda mengumpul mata selepas melengkapkan Cabaran. Setiap ahli yang menyertai Permainan Klan dengan melengkapkan sekurang-kurangnya satu Cabaran akan layak memilih satu ganjaran dari setiap peringkat. Ganjaran yang tidak dituntut akan hilang selepas 7 hari.","Wanneer de clanspelen zijn afgelopen, is het tijd om de beloningen binnen te halen. Er zijn verschillende beloningsdrempels die je kunt bereiken naarmate je clan punten verzamelt voor voltooide uitdagingen. Iedereen die deelneemt aan de clanspelen en ten minste één uitdaging voltooit, kan voor elke drempel één beloning kiezen. Beloningen die niet worden opgehaald, gaan na zeven dagen verloren.","Når klanlekene er over, er det tid for å nyte belønningene! Belønningene har ulike nivåer som låses opp etter hvert som klanen din tar poeng for å fullføre utfordringer. Alle som deltok i klanlekene ved å fullføre minst én utfordring, får velge én belønning fra hvert belønningsnivå. Uavhentede belønninger forsvinner etter sju dager.","Comemore e aproveite as recompensas quando os jogos do clã terminarem! As recompensas são distribuídas em vários níveis, que são desbloqueados conforme o seu clã acumula pontos com a conclusão dos desafios. Todos que participaram dos jogos completando pelo menos um desafio têm direito a uma recompensa de cada nível desbloqueado. Recompensas que não forem resgatadas dentro de 7 dias serão perdidas.","После завершения Игр кланов можно получить награды! Существует несколько уровней наград; для каждого нужно набрать определенное количество очков, проходя испытания. Каждый игрок, прошедший хотя бы одно испытание в Играх кланов, сможет выбрать по одной награде с каждого доступного уровня. Невостребованные награды пропадают через 7 дней.","เมื่อเกมแคลนจบลง ก็ถึงเวลามีความสุขกับรางวัลแล้ว! รางวัลนั้นจะมาในหลากหลายระดับตามที่แคลนของท่านทำความท้าทายสำเร็จแล้วรวบรวมคะแนนไปปลดล็อคระดับขั้นเหล่านั้น ทุกท่านที่เข้าร่วมในเกมแคลนด้วยการทำความท้าทายสำเร็จอย่างน้อยหนึ่งอย่างจะมีสิทธิ์เลือกรางวัลหนึ่งชิ้นในทุกขั้นรางวัล รางวัลที่ไม่ได้เก็บจะหายไปหลังเวลาผ่านไป 7 วัน","Klan Oyunları sona erdiğinde ödüllerinin keyfini çıkarabilirsin! Klanın, biten Mücadelelerden puan toplayıp birkaç farklı ödül kademesi açar. Klan Oyunlarına katılıp en az bir Mücadele tamamlayan herkes, her ödül kademesinden bir ödül seçme hakkı kazanır. Alınmayan ödüller 7 gün sonra kaybolur.","Khi Trò chơi Hội kết thúc thì đó cũng là lúc để tận hưởng phần thưởng! Phần thưởng sẽ có nhiều bậc và chúng được mở khóa khi hội của bạn thu thập điểm từ những Thử thách đã hoàn tất. Đối với những ai tham gia Trò chơi Hội, nếu muốn hội đủ điều kiện để chọn một phần thưởng từ mỗi bậc giải thưởng thì phải hoàn thành ít nhất một Thử thách. Phần thưởng không được nhận sẽ biến mất sau 7 ngày."
"TID_CLAN_GAMES_LEAVING_SOON_REWARDS","Clan Games are leaving soon, come collect your rewards!","مباريات القبيلة قاربت على الانتهاء، تقدم لتحصل على جوائزك!","部落竞赛即将落幕，快来收集奖励！","部落競賽即將落幕，快來收集獎勵！","Die Clanspiele ziehen bald weiter, hol deine Belohnungen ab!","Los Juegos del Clan acabarán pronto. ¡Reclama tus recompensas!","بازی‌های قبیله‌ای به‌زودی تمام می‌شود، جوایزتان را جمع‌آوری کنید!","Klaanikisat poistuvat pian. Käy siis äkkiä hakemassa palkintosi!","Les jeux de clan vont bientôt se terminer. Récupérez vos récompenses !","Permainan Klan akan segera pergi, datanglah dan ambil hadiahmu!","La fiera dei giochi del clan sta per andar via, ritira le tue ricompense!","クランゲームは間もなく終了します。いますぐ報酬を受け取りましょう！","클랜 게임이 곧 떠납니다. 보상을 획득하세요!","Permainan Klan akan tamat tak lama lagi, mari kumpul ganjaran anda!","De clanspelen verlaten binnenkort je dorp. Haal nu je beloningen op.","Klanlekene er snart over. Hent belønningene dine!","Os Jogos do Clã acabam em breve. Não deixe de coletar suas recompensas!","Караван скоро покинет деревню — заберите свои награды!","เกมแคลนกำลังจะจากไป มารับรางวัลของท่านสิ!","Klan Oyunları yakında bitiyor, gelip ödüllerini al!","Trò chơi Hội sẽ sớm rời đi, hãy đến thu thập phần thưởng của bạn nào!"
"TID_BP_REWARD_AVAILABLE","This reward is unlocked and ready to collect.","تم فتح هذه المكافأة وهي الآن متاحة للتحصيل.","该奖励已解锁，等待收集。","該獎勵已解鎖，等待收集。","Diese Belohnung ist freigeschaltet und kann abgeholt werden.","Esta recompensa está desbloqueada y puedes reclamarla.","قفل این جایزه باز شده است و آماده جمع‌آوری است.","Tämä palkinto on avattu ja valmis lunastettavaksi.","La récompense est débloquée. Vous pouvez la récupérer.","Hadiah ini terbuka dan siap diambil.","Hai sbloccato la ricompensa e ora la puoi ritirare.","この報酬は回収可能です。","해당 보상은 이미 잠금 해제했으며\n회수할 수 있습니다.","Ganjaran ini dibuka kunci dan sedia untuk dikumpul.","Deze beloning is ontgrendeld en kan nu worden opgehaald.","Denne belønningen er låst opp og klar for å innkasseres.","Esta recompensa foi liberada e já pode ser coletada.","Эта награда открыта, и ее можно забрать.","รางวัลนี้ปลดล็อคและพร้อมให้เก็บได้แล้ว","Bu ödül açıldı ve alınmaya hazır.","Phần thưởng này đã được mở khóa và có thể được thu thập."
"TID_BP_REWARD_CLAIMED","You collected this reward already.","حصلت على هذه المكافأة بالفعل.","您已收集该奖励。","您已收集該獎勵。","Du hast diese Belohnung bereits abgeholt.","Ya has reclamado esta recompensa.","قبلاً این جایزه را جمع‌آوری کرده‌اید.","Olet jo lunastanut tämän palkinnon.","Vous avez déjà récupéré la récompense.","Hadiah ini sudah diambil.","Hai già ritirato questa ricompensa.","この報酬はすでに回収済みです。","이미 해당 보상을 회수했습니다.","Anda telah kumpul ganjaran ini.","Je hebt deze beloning al opgehaald.","Du har allerede hentet denne belønningen.","Você já resgatou esta recompensa.","Вы уже забрали эту награду.","ท่านได้รับรางวัลนี้เรียบร้อยแล้ว","Bu ödülü zaten aldın.","Bạn đã nhận phần thưởng này rồi."
"TID_BP_PERK_UNLOCKED_IN_REWARDS","Upgrade can be claimed in Rewards","يمكن الحصول على الترقية عبر الجوائز.","可前往奖励界面领取升级","可前往獎勵介面領取升級","Die Verbesserung kann unter \qBelohnungen\q eingefordert werden.","Debes reclamar la mejora en la pestaña de recompensas.","می‌توان ارتقاء را در قالب «جایزه» مطالبه کرد","Lunasta etu Palkinnot-välilehdeltä.","Amélioration à récupérer dans les récompenses.","Peningkatan dapat diklaim di Hadiah","Ricevi il miglioramento dalla scheda ''Ricompense''.","アップグレードは報酬タブで回収できます","업그레이드는 보상 탭에서 획득할 수 있습니다.","Naik taraf boleh dituntut dalam Ganjaran","Je kunt de upgrade ophalen via het tabblad Beloningen","Oppgraderingen kan innkasseres i Belønninger","A melhoria pode ser resgatada na aba Recompensas.","Улучшение можно получить на вкладке «Награды».","กดรับการอัปเกรดได้ในแท็บรางวัล","Yükseltme Ödüller sekmesinden alınabilir.","Nâng cấp có thể được nhận ở thẻ Phần thưởng"
"TID_BATTLE_PASS_UNCLAIMED_REWARDS","Unclaimed","لم يُطالب بها","未领取","未領取","Nicht eingefordert","Pendientes","درخواست‌نشده","Lunastamatta","Non récupérées","Belum Diklaim","Non ritirate","未入手","미획득 보상","Belum Dituntut","Niet opgehaald","Ikke hentet","Não resgatado","Не получено","ยังไม่ได้รับ","Alınmayan","Chưa nhận"
"TID_BATTLE_PASS_CLAIMED_REWARDS","Claimed","مطالب بها","已领取","已領取","Eingefordert","Reclamadas","درخواست‌شده","Lunastettu","Récupérées","Sudah Diklaim","Ritirate","入手済み","획득한 보상","Dituntut","Opgehaald","Hentet","Resgatado","Получено","รับแล้ว","Alınan","Đã nhận"
"TID_CLAN_GAMES_ALREADY_CLAIMED","You already claimed this reward!","سبق أن طالبت بهذه الجائزة!","您已领取过该奖励！","您已領取過該獎勵！","Du hast dieses Geschenk bereits abgeholt!","¡Ya has reclamado esta recompensa!","قبلاً این جایزه را دریافت کرده‌اید!","Olet jo lunastanut tämän palkinnon!","Vous avez déjà récupéré cette récompense !","Hadiah ini sudah kamu klaim!","Hai già ritirato questa ricompensa!","この報酬は回収済みです！","이 보상을 이미 수령했습니다!","Anda telah menuntut ganjaran ini!","Je hebt deze beloning al opgehaald.","Du har allerede hentet denne belønningen!","Você já resgatou esta recompensa!","Вы уже забрали эту награду!","ท่านได้รับรางวัลนี้ไปแล้ว!","Bu ödülü zaten aldın!","Bạn đã nhận phần thưởng này rồi!"
"TID_CLAN_GAMES_CLAIM_BONUS_REWARD_BUTTON","Claim Reward","المطالبة بالجائزة","领取奖励","領取獎勵","Belohnung abholen","Reclamar","درخواست پاداش","Lunasta palkinto","Récupérer","Klaim Hadiah","Ritira la ricompensa","報酬を回収","보상 받기","Tuntut Ganjaran","Beloning ophalen","Hent belønning","Coletar recompensa","Забрать","รับรางวัล","Ödülü Al","Nhận thưởng"
"TID_STARTER_TH2_INFO_CLAIMACHIEVEMENT","Claim <num> Achievements from your Profile.","طالب بـ <num> من الإنجازات من ملفك الشخصي.","在您的个人简介界面领取<num>项成就的奖励","在您的個人資料介面領取<num>項成就的獎勵","Sammle in deinem Profil die Belohnungen für <num> Errungenschaften ein.","Reclama <num> logros en tu perfil.","<num> دستاورد را از‌طریق صفحه مشخصات خود مطالبه کنید","Lunasta <num> saavutusta profiilistasi.","Récupérez <num> succès dans votre profil.","Klaim <num> Pencapaian dari Profil.","Ritira <num> ricompense degli obiettivi dal tuo profilo.","プロフィール内の達成項目を<num>個達成する。","프로필 업적 <num>개 달성","Tuntut <num> pencapaian dari profil anda.","Eis <num> prestaties op in je profiel.","Hent <num> utmerkelser på profilen din.","Resgate <num> conquistas no seu perfil.","Получите награды за достижения в своем профиле <num> р.","รับความสำเร็จ <num> อย่างจากประวัติของท่าน","Profilinden <num> Başarı tamamla.","Nhận <num> Thành tích từ Hồ sơ của bạn."
